time,year,week,cases,births,pop
2011,2011,1,425,3403.730769,5560628
2011.058824,2011,4,232,3403.730769,5560628
2011.117647,2011,7,122,3403.730769,5560628
2011.176471,2011,10,101,3403.730769,5560628
2011.235294,2011,13,65,3403.730769,5560628
2011.294118,2011,16,54,3403.730769,5560628
2011.352941,2011,19,42,3403.730769,5560628
2011.411765,2011,22,45,3403.730769,5560628
2011.470588,2011,25,60,3403.730769,5560628
2011.529412,2011,28,66,3403.730769,5560628
2011.588235,2011,31,126,3403.730769,5560628
2011.647059,2011,34,144,3403.730769,5560628
2011.705882,2011,37,290,3403.730769,5560628
2011.764706,2011,40,519,3403.730769,5560628
2011.823529,2011,43,1444,3403.730769,5560628
2011.882353,2011,46,1809,3403.730769,5560628
2011.941176,2011,49,1787,3403.730769,5560628
2012,2012,1,1083,3341.307692,5580516
2012.058824,2012,4,583,3341.307692,5580516
2012.117647,2012,7,260,3341.307692,5580516
2012.176471,2012,10,218,3341.307692,5580516
2012.235294,2012,13,80,3341.307692,5580516
2012.294118,2012,16,75,3341.307692,5580516
2012.352941,2012,19,47,3341.307692,5580516
2012.411765,2012,22,38,3341.307692,5580516
2012.470588,2012,25,32,3341.307692,5580516
2012.529412,2012,28,22,3341.307692,5580516
2012.588235,2012,31,36,3341.307692,5580516
2012.647059,2012,34,41,3341.307692,5580516
2012.705882,2012,37,32,3341.307692,5580516
2012.764706,2012,40,53,3341.307692,5580516
2012.823529,2012,43,79,3341.307692,5580516
2012.882353,2012,46,62,3341.307692,5580516
2012.941176,2012,49,69,3341.307692,5580516
2013,2013,1,32,3223.442308,5602628
2013.058824,2013,4,26,3223.442308,5602628
2013.117647,2013,7,10,3223.442308,5602628
2013.176471,2013,10,10,3223.442308,5602628
2013.235294,2013,13,3,3223.442308,5602628
2013.294118,2013,16,8,3223.442308,5602628
2013.352941,2013,19,1,3223.442308,5602628
2013.411765,2013,22,4,3223.442308,5602628
2013.470588,2013,25,3,3223.442308,5602628
2013.529412,2013,28,12,3223.442308,5602628
2013.588235,2013,31,18,3223.442308,5602628
2013.647059,2013,34,27,3223.442308,5602628
2013.705882,2013,37,33,3223.442308,5602628
2013.764706,2013,40,39,3223.442308,5602628
2013.823529,2013,43,40,3223.442308,5602628
2013.882353,2013,46,65,3223.442308,5602628
2013.941176,2013,49,60,3223.442308,5602628
2014,2014,1,56,3280.961538,5627235
2014.058824,2014,4,48,3280.961538,5627235
2014.117647,2014,7,37,3280.961538,5627235
2014.176471,2014,10,45,3280.961538,5627235
2014.235294,2014,13,31,3280.961538,5627235
2014.294118,2014,16,21,3280.961538,5627235
2014.352941,2014,19,15,3280.961538,5627235
2014.411765,2014,22,20,3280.961538,5627235
2014.470588,2014,25,20,3280.961538,5627235
2014.529412,2014,28,19,3280.961538,5627235
2014.588235,2014,31,32,3280.961538,5627235
2014.647059,2014,34,43,3280.961538,5627235
2014.705882,2014,37,53,3280.961538,5627235
2014.764706,2014,40,87,3280.961538,5627235
2014.823529,2014,43,156,3280.961538,5627235
2014.882353,2014,46,199,3280.961538,5627235
2014.941176,2014,49,263,3280.961538,5627235
2015,2015,1,228,3357.980769,5659715
2015.058824,2015,4,197,3357.980769,5659715
2015.117647,2015,7,121,3357.980769,5659715
2015.176471,2015,10,96,3357.980769,5659715
2015.235294,2015,13,69,3357.980769,5659715
2015.294118,2015,16,80,3357.980769,5659715
2015.352941,2015,19,57,3357.980769,5659715
2015.411765,2015,22,51,3357.980769,5659715
2015.470588,2015,25,68,3357.980769,5659715
2015.529412,2015,28,71,3357.980769,5659715
2015.588235,2015,31,113,3357.980769,5659715
2015.647059,2015,34,98,3357.980769,5659715
2015.705882,2015,37,170,3357.980769,5659715
2015.764706,2015,40,256,3357.980769,5659715
2015.823529,2015,43,398,3357.980769,5659715
2015.882353,2015,46,793,3357.980769,5659715
2015.941176,2015,49,1391,3357.980769,5659715
2016,2016,1,1801,3554.653846,5707251
2016.058824,2016,4,986,3554.653846,5707251
2016.117647,2016,7,594,3554.653846,5707251
2016.176471,2016,10,325,3554.653846,5707251
2016.235294,2016,13,250,3554.653846,5707251
2016.294118,2016,16,186,3554.653846,5707251
2016.352941,2016,19,138,3554.653846,5707251
2016.411765,2016,22,148,3554.653846,5707251
2016.470588,2016,25,121,3554.653846,5707251
2016.529412,2016,28,136,3554.653846,5707251
2016.588235,2016,31,233,3554.653846,5707251
2016.647059,2016,34,221,3554.653846,5707251
2016.705882,2016,37,461,3554.653846,5707251
2016.764706,2016,40,865,3554.653846,5707251
2016.823529,2016,43,1214,3554.653846,5707251
2016.882353,2016,46,1125,3554.653846,5707251
2016.941176,2016,49,963,3554.653846,5707251
2017,2017,1,568,3542.134615,5748769
2017.058824,2017,4,407,3542.134615,5748769
2017.117647,2017,7,216,3542.134615,5748769
2017.176471,2017,10,155,3542.134615,5748769
2017.235294,2017,13,96,3542.134615,5748769
2017.294118,2017,16,114,3542.134615,5748769
2017.352941,2017,19,76,3542.134615,5748769
2017.411765,2017,22,73,3542.134615,5748769
2017.470588,2017,25,76,3542.134615,5748769
2017.529412,2017,28,79,3542.134615,5748769
2017.588235,2017,31,118,3542.134615,5748769
2017.647059,2017,34,164,3542.134615,5748769
2017.705882,2017,37,245,3542.134615,5748769
2017.764706,2017,40,434,3542.134615,5748769
2017.823529,2017,43,812,3542.134615,5748769
2017.882353,2017,46,914,3542.134615,5748769
2017.941176,2017,49,871,3542.134615,5748769
2018,2018,1,599,3546.692308,5781190
2018.058824,2018,4,371,3546.692308,5781190
2018.117647,2018,7,166,3546.692308,5781190
2018.176471,2018,10,117,3546.692308,5781190
2018.235294,2018,13,72,3546.692308,5781190
2018.294118,2018,16,62,3546.692308,5781190
2018.352941,2018,19,64,3546.692308,5781190
2018.411765,2018,22,49,3546.692308,5781190
2018.470588,2018,25,46,3546.692308,5781190
2018.529412,2018,28,44,3546.692308,5781190
2018.588235,2018,31,41,3546.692308,5781190
2018.647059,2018,34,48,3546.692308,5781190
2018.705882,2018,37,74,3546.692308,5781190
2018.764706,2018,40,122,3546.692308,5781190
2018.823529,2018,43,167,3546.692308,5781190
2018.882353,2018,46,139,3546.692308,5781190
2018.941176,2018,49,158,3546.692308,5781190
2019,2019,1,117,3528.865385,5806081
2019.058824,2019,4,85,3528.865385,5806081
2019.117647,2019,7,46,3528.865385,5806081
2019.176471,2019,10,46,3528.865385,5806081
2019.235294,2019,13,48,3528.865385,5806081
2019.294118,2019,16,32,3528.865385,5806081
2019.352941,2019,19,39,3528.865385,5806081
2019.411765,2019,22,54,3528.865385,5806081
2019.470588,2019,25,84,3528.865385,5806081
2019.529412,2019,28,81,3528.865385,5806081
2019.588235,2019,31,117,3528.865385,5806081
2019.647059,2019,34,136,3528.865385,5806081
2019.705882,2019,37,207,3528.865385,5806081
2019.764706,2019,40,284,3528.865385,5806081
2019.823529,2019,43,391,3528.865385,5806081
2019.882353,2019,46,504,3528.865385,5806081
2019.941176,2019,49,609,3528.865385,5806081
2020,2020,1,515,3515.596154,5822763
2020.058824,2020,4,501,3515.596154,5822763
2020.117647,2020,7,476,3515.596154,5822763
2020.176471,2020,10,278,3515.596154,5822763
2020.235294,2020,13,71,3515.596154,5822763
2020.294118,2020,16,58,3515.596154,5822763
2020.352941,2020,19,26,3515.596154,5822763
2020.411765,2020,22,12,3515.596154,5822763
2020.470588,2020,25,7,3515.596154,5822763
2020.529412,2020,28,3,3515.596154,5822763
2020.588235,2020,31,7,3515.596154,5822763
2020.647059,2020,34,2,3515.596154,5822763
2020.705882,2020,37,2,3515.596154,5822763
2020.764706,2020,40,6,3515.596154,5822763
2020.823529,2020,43,12,3515.596154,5822763
2020.882353,2020,46,4,3515.596154,5822763
2020.941176,2020,49,4,3515.596154,5822763
2021,2021,1,2,3661.903846,5840045
2021.058824,2021,4,0,3661.903846,5840045
2021.117647,2021,7,0,3661.903846,5840045
2021.176471,2021,10,1,3661.903846,5840045
